QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Cam Akers,Chris Carson,T.Y. Hilton,Stefon Diggs,John Brown,Logan Thomas,D.K. Metcalf,Washington Football Team
Josh Allen,Antonio Gibson,Ronald Jones,T.Y. Hilton,Stefon Diggs,John Brown,Logan Thomas,Terry McLaurin,Seattle Seahawks
Josh Allen,Cam Akers,Antonio Gibson,T.Y. Hilton,Stefon Diggs,John Brown,Tyler Higbee,Jonathan Taylor,Los Angeles Rams
Josh Allen,Cam Akers,Chris Carson,T.Y. Hilton,Stefon Diggs,Robert Woods,Dawson Knox,Antonio Brown,Tampa Bay Buccaneers
Josh Allen,Cam Akers,Ronald Jones,Stefon Diggs,John Brown,Robert Woods,Jack Doyle,D.K. Metcalf,Tampa Bay Buccaneers
Josh Allen,Cam Akers,Antonio Gibson,T.Y. Hilton,Stefon Diggs,Terry McLaurin,Dawson Knox,Tyler Lockett,Washington Football Team
Josh Allen,Chris Carson,Ronald Jones,T.Y. Hilton,Stefon Diggs,John Brown,Tyler Higbee,Tyler Lockett,Tampa Bay Buccaneers
Josh Allen,Cam Akers,Jonathan Taylor,T.Y. Hilton,Stefon Diggs,Robert Woods,Jack Doyle,Cole Beasley,Washington Football Team
Josh Allen,Chris Carson,Jonathan Taylor,T.Y. Hilton,Stefon Diggs,John Brown,Dawson Knox,Cole Beasley,Seattle Seahawks
John Wolford,Cam Akers,Jonathan Taylor,T.Y. Hilton,Stefon Diggs,Robert Woods,Gerald Everett,D.K. Metcalf,Tampa Bay Buccaneers
Josh Allen,Chris Carson,Antonio Gibson,Stefon Diggs,John Brown,D.K. Metcalf,Jack Doyle,Antonio Brown,Seattle Seahawks
Josh Allen,Cam Akers,Nyheim Hines,T.Y. Hilton,Stefon Diggs,Terry McLaurin,Logan Thomas,Cole Beasley,Los Angeles Rams
Josh Allen,Cam Akers,Chris Carson,Stefon Diggs,John Brown,Zach Pascal,Rob Gronkowski,Jonathan Taylor,Tampa Bay Buccaneers
John Wolford,Cam Akers,Antonio Gibson,Stefon Diggs,Robert Woods,D.K. Metcalf,Logan Thomas,Cooper Kupp,Washington Football Team
Taylor Heinicke,Cam Akers,Antonio Gibson,Stefon Diggs,Robert Woods,Terry McLaurin,Logan Thomas,Chris Godwin,Los Angeles Rams
John Wolford,Cam Akers,Chris Carson,Stefon Diggs,Robert Woods,Terry McLaurin,Tyler Higbee,D.K. Metcalf,Buffalo Bills
Josh Allen,Chris Carson,Ronald Jones,Stefon Diggs,D.K. Metcalf,Zach Pascal,Logan Thomas,Cole Beasley,Seattle Seahawks
Josh Allen,Chris Carson,Antonio Gibson,Stefon Diggs,John Brown,Robert Woods,Trey Burton,Terry McLaurin,Washington Football Team
Russell Wilson,Cam Akers,Chris Carson,Stefon Diggs,John Brown,D.K. Metcalf,Gerald Everett,Tyler Lockett,Tampa Bay Buccaneers
Philip Rivers,Cam Akers,Chris Carson,T.Y. Hilton,Stefon Diggs,Tyler Lockett,Trey Burton,Jonathan Taylor,Tampa Bay Buccaneers
